,GAME_ID,GAME_DATE,HOME_SCORE,AWAY_SCORE,HOME_TEAM_ID,AWAY_TEAM_ID
564,0022000596,2021-03-14,102,97,1610612748,1610612753
565,0022000598,2021-03-14,134,107,1610612738,1610612745
566,0022000597,2021-03-14,100,82,1610612737,1610612739
567,0022000599,2021-03-14,114,112,1610612750,1610612757
568,0022000601,2021-03-14,135,115,1610612740,1610612746
569,0022000593,2021-03-14,128,122,1610612760,1610612763
570,0022000608,2021-03-15,128,97,1610612747,1610612744
571,0022000607,2021-03-15,122,99,1610612756,1610612763
572,0022000604,2021-03-15,112,117,1610612752,1610612751
573,0022000428,2021-03-15,99,109,1610612765,1610612759
574,0022000605,2021-03-15,99,109,1610612742,1610612746
575,0022000606,2021-03-15,121,106,1610612743,1610612754
576,0022000602,2021-03-15,122,116,1610612766,1610612758
577,0022000603,2021-03-15,133,122,1610612749,1610612764
578,0022000611,2021-03-16,99,96,1610612755,1610612752
579,0022000615,2021-03-16,121,137,1610612750,1610612747
580,0022000612,2021-03-16,123,102,1610612741,1610612760
581,0022000609,2021-03-16,117,109,1610612762,1610612738
582,0022000613,2021-03-16,119,107,1610612737,1610612745
583,0022000610,2021-03-16,98,113,1610612739,1610612748
584,0022000614,2021-03-16,124,125,1610612740,1610612757
585,0022000618,2021-03-17,105,109,1610612755,1610612749
586,0022000621,2021-03-17,106,99,1610612759,1610612741
587,0022000622,2021-03-17,108,94,1610612744,1610612745
588,0022000620,2021-03-17,110,117,1610612738,1610612739
589,0022000616,2021-03-17,116,112,1610612765,1610612761
590,0022000617,2021-03-17,124,115,1610612751,1610612754
591,0022000625,2021-03-17,105,89,1610612742,1610612746
592,0022000624,2021-03-17,129,104,1610612743,1610612766
593,0022000619,2021-03-17,119,121,1610612764,1610612758
594,0022000623,2021-03-17,85,89,1610612748,1610612763
595,0022000630,2021-03-18,105,116,1610612766,1610612747
596,0022000627,2021-03-18,94,93,1610612752,1610612753
597,0022000628,2021-03-18,123,119,1610612750,1610612756
598,0022000629,2021-03-18,101,93,1610612757,1610612740
599,0022000626,2021-03-18,116,93,1610612737,1610612760
600,0022000166,2021-03-18,122,131,1610612762,1610612764
601,0022000638,2021-03-19,101,113,1610612750,1610612756
602,0022000631,2021-03-19,96,107,1610612738,1610612758
603,0022000633,2021-03-19,113,121,1610612751,1610612753
604,0022000635,2021-03-19,113,100,1610612765,1610612745
605,0022000435,2021-03-19,110,116,1610612739,1610612759
606,0022000632,2021-03-19,110,137,1610612748,1610612754
607,0022000639,2021-03-19,119,125,1610612742,1610612757
608,0022000637,2021-03-19,127,131,1610612741,1610612743
609,0022000634,2021-03-19,112,115,1610612761,1610612762
610,0022000636,2021-03-19,116,103,1610612744,1610612763
611,0022000641,2021-03-20,129,105,1610612755,1610612758
612,0022000640,2021-03-20,99,94,1610612737,1610612747
613,0022000644,2021-03-20,125,98,1610612746,1610612766
614,0022000643,2021-03-20,113,120,1610612759,1610612749
615,0022000642,2021-03-20,103,111,1610612744,1610612763
616,0022000650,2021-03-21,100,101,1610612752,1610612755
617,0022000651,2021-03-21,94,111,1610612747,1610612756
618,0022000647,2021-03-21,106,113,1610612764,1610612751
619,0022000167,2021-03-21,112,96,1610612738,1610612753
620,0022000016,2021-03-21,114,112,1610612760,1610612745
621,0022000648,2021-03-21,105,116,1610612761,1610612739
622,0022000645,2021-03-21,109,106,1610612754,1610612748
623,0022000649,2021-03-21,86,100,1610612765,1610612741
624,0022000652,2021-03-21,92,132,1610612757,1610612742
625,0022000646,2021-03-21,113,108,1610612740,1610612743
626,0022000655,2021-03-22,100,97,1610612766,1610612759
627,0022000656,2021-03-22,120,95,1610612762,1610612741
628,0022000660,2021-03-22,119,110,1610612746,1610612737
629,0022000657,2021-03-22,99,117,1610612761,1610612745
630,0022000653,2021-03-22,119,105,1610612758,1610612739
631,0022000659,2021-03-22,113,140,1610612754,1610612749
632,0022000654,2021-03-22,112,103,1610612760,1610612750
633,0022000658,2021-03-22,132,126,1610612763,1610612738
634,0022000665,2021-03-23,98,108,1610612744,1610612755
635,0022000662,2021-03-23,113,131,1610612764,1610612752
636,0022000661,2021-03-23,99,110,1610612753,1610612743
637,0022000664,2021-03-23,110,100,1610612756,1610612748
